kingdom	phylum	class	order	family	genus
OTU_29819	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_29821	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_29823	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiales_incertae_sedis	
OTU_29843	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_29848	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_29854	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_29856	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales		
OTU_29864	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_29865	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_29872	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_29873	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales		
OTU_29882	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_29883	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_29887	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_29894	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_29897	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_29899	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_29900	k__Bacteria					
OTU_29906	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_29910	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_29929	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_29935	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Veillonellaceae	
OTU_29956	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_29957	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_29962	k__Bacteria					
OTU_29970	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_29972	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_29994	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30007	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_30008	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_30021	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	
OTU_30022	Unassigned					
OTU_30032	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_30041	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30058	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_30065	k__Bacteria					
OTU_30070	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	
OTU_30078	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30080	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_30100	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_30102	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30103	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_30105	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_30106	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_30110	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales_Incertae Sedis XI	
OTU_30114	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_30120	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales		
OTU_30149	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30172	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_30175	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30176	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales		
OTU_30181	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales_Incertae Sedis XI	
OTU_30184	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales_Incertae Sedis XI	
OTU_30188	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30190	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales		
OTU_30195	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30211	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_30218	k__Bacteria					
OTU_30225	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_30229	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30235	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_30239	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_30240	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_30242	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_30246	k__Bacteria					
OTU_30250	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_30260	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_30264	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_30265	k__Bacteria					
OTU_30271	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30283	k__Bacteria					
OTU_30287	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30294	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	
OTU_30297	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30302	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_30312	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales		
OTU_30313	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30319	k__Bacteria					
OTU_30321	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30323	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30326	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_30346	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30350	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30380	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_30396	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_30413	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_30416	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	
OTU_30425	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30438	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_30452	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30462	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30469	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_30508	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_30513	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_30516	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_30525	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_30539	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_30547	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_30553	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_30556	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30563	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_30583	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_30584	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30586	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30590	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	
OTU_30591	k__Bacteria					
OTU_30594	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30603	k__Bacteria					
OTU_30617	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_30622	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_30623	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30626	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_30640	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30642	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_30647	k__Bacteria					
OTU_30652	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_30672	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_30676	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	
OTU_30698	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_30718	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_30731	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_30734	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales		
OTU_30741	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30744	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30745	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_30748	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_30750	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_30770	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	
OTU_30771	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_30774	k__Bacteria					
OTU_30789	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_30814	Unassigned					
OTU_30847	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_30860	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_30867	k__Bacteria					
OTU_30868	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_30869	k__Bacteria					
OTU_30886	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30890	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30901	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_30902	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_30914	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales		
OTU_30917	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_30920	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_30930	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales		
OTU_30954	k__Bacteria					
OTU_30972	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_30980	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_30981	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_30983	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_30988	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_31005	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31007	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_31011	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales		
OTU_31012	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_31020	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_31030	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Coriobacteriales		
OTU_31040	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31042	k__Bacteria	p__Firmicutes				
OTU_31055	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	
OTU_31057	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_31061	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_31067	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_31085	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_31091	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31092	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_31093	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_31100	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_31105	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31106	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	
OTU_31114	k__Bacteria					
OTU_31128	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31158	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_31163	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_31171	k__Bacteria					
OTU_31172	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31177	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31180	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31189	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_31198	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31207	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_31210	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_31213	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_31235	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_31241	k__Bacteria	p__Firmicutes				
OTU_31250	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_31270	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales		
OTU_31274	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_31293	k__Bacteria					
OTU_31298	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_31307	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_31320	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_31326	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_31345	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_31363	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31371	k__Bacteria					
OTU_31378	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31387	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Succinivibrionaceae	
OTU_31389	k__Bacteria					
OTU_31399	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	
OTU_31424	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31437	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_31450	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_31463	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	
OTU_31466	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31471	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_31474	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales		
OTU_31481	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	
OTU_31501	k__Bacteria					
OTU_31502	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_31509	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales		
OTU_31511	k__Bacteria					
OTU_31513	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	
OTU_31515	k__Bacteria					
OTU_31539	k__Bacteria					
OTU_31540	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_31566	k__Bacteria					
OTU_31589	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31598	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_31599	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_31620	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_31628	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_31633	k__Bacteria					
OTU_31641	k__Bacteria	p__Firmicutes				
OTU_31654	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_31656	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31660	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_31678	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31692	k__Bacteria					
OTU_31699	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_31727	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_31740	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Succinivibrionaceae	
OTU_31743	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales		
OTU_31780	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_31782	Unassigned					
OTU_31785	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales		
OTU_31812	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31817	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31819	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_31821	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_31822	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_31847	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_31849	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales_Incertae Sedis XIII	
OTU_31853	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_31856	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_31857	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_31860	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_31861	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_31884	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales		
OTU_31886	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_31898	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Succinivibrionaceae	
OTU_31905	k__Bacteria					
OTU_31906	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_31912	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_31920	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_31942	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_31949	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_31955	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_31968	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_31977	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	
OTU_31983	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_31987	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_31990	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_31999	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_32001	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_32003	k__Bacteria					
OTU_32009	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_32013	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_32027	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_32041	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_32042	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales		
OTU_32057	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_32063	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_32064	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_32072	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_32083	k__Bacteria					
OTU_32102	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales		
OTU_32106	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales		
OTU_32110	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	
OTU_32124	k__Bacteria					
OTU_32128	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_32133	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_32135	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_32155	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_32165	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_32170	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_32176	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_32182	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	
OTU_32191	k__Bacteria					
OTU_32197	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_32203	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_32219	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_32222	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_32223	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_32230	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_32241	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales		
OTU_32253	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_32267	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	
OTU_32269	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_32271	k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	
OTU_32277	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_32278	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_32284	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_32290	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_32297	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_32300	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_32320	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_32324	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_32333	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_32336	k__Bacteria					
OTU_32343	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
